Storage_Temperature_C,Initial_pH,Final_pH,Titratable_Acidity_g/100mL,Microbial_Count_CFU/mL,Shelf_Life_Days
20,6.37,6.03,0.14,585,5.9
10,6.6,6.28,0.17,8068,8
10,6.47,6.15,0.15,5816,7.7
4,6.73,6.42,0.16,7294,9.7
4,6.65,6.34,0.14,18860,9.1
20,6.42,6.08,0.13,4486,6.8
10,6.61,6.29,0.14,29827,8.8
20,6.35,6.01,0.14,1786,5.8
10,6.5,6.18,0.14,8481,8
10,6.55,6.23,0.15,11055,7.8
4,6.7,6.39,0.15,66898,10.4
4,6.73,6.42,0.14,61885,8.7
30,6.27,5.91,0.11,174,4.1
4,6.71,6.4,0.16,12432,8.9
30,6.07,5.71,0.14,67,3.6
20,6.32,5.98,0.14,493,6.4
20,6.4,6.06,0.14,1064,6.6
30,6.26,5.9,0.14,141,4.2
10,6.61,6.29,0.15,7477,8.4
4,6.8,6.49,0.16,12241,9.6
30,6.28,5.92,0.12,21,3.7
20,6.34,6,0.12,1991,6.5
20,6.26,5.92,0.14,1703,6.3
4,6.76,6.45,0.15,82474,8.8
20,6.46,6.12,0.13,556,6.2
30,6.14,5.78,0.13,357,4.4
30,6.19,5.83,0.13,51,3.8
20,6.4,6.06,0.15,721,5.8
30,6.17,5.81,0.11,121,4
30,6.15,5.79,0.12,63,3.5
30,6.15,5.79,0.13,46,3.2
20,6.39,6.05,0.14,2947,7.2
10,6.61,6.29,0.13,36817,8.6
10,6.59,6.27,0.13,9168,8.1
20,6.43,6.09,0.12,2659,6
10,6.61,6.29,0.15,2013,7.6
30,6.21,5.85,0.13,171,3.9
10,6.5,6.18,0.15,8971,8.2
20,6.29,5.95,0.13,636,6.5
20,6.38,6.04,0.13,466,6.2
4,6.7,6.39,0.13,10632,10.8
10,6.64,6.32,0.17,4654,7.7
30,6.05,5.69,0.14,24,4.7
10,6.56,6.24,0.14,8807,7.8
20,6.37,6.03,0.13,953,6.3
10,6.54,6.22,0.16,2227,8.2
30,6.15,5.79,0.13,91,3.6
20,6.33,5.99,0.13,772,6.3
2,6.76,6.66,0.126,95217,42.7
2,6.76,6.6,0.148,84413,42.8
2,6.74,6.65,0.125,94571,42.8
2,6.78,6.66,0.129,87548,43.1
2,6.77,6.65,0.127,96057,43.6
4,6.73,6.62,0.128,94778,35.9
4,6.71,6.58,0.142,95108,36.1
4,6.69,6.65,0.14,95506,35.7
4,6.73,6.56,0.168,98922,35.9
4,6.74,6.54,0.13,100736,35.9
5,6.67,6.53,0.163,143372,30.2
5,6.66,6.57,0.149,149626,29.7
5,6.68,6.55,0.152,151745,29.9
5,6.75,6.56,0.147,164813,30
5,6.68,6.55,0.147,145058,30.2
7,6.7,6.52,0.173,364084,24.3
7,6.69,6.52,0.157,352136,23.9
7,6.68,6.52,0.161,357816,23.9
7,6.68,6.52,0.16,350521,24.3
7,6.67,6.46,0.174,335024,24.8
9,6.63,6.44,0.167,604050,8.1
9,6.61,6.44,0.178,520582,8.2
9,6.65,6.43,0.165,642280,8.7
9,6.64,6.39,0.185,647387,7.8
9,6.64,6.38,0.16,568473,7.4
10,6.58,6.28,0.188,1216440,12
10,6.6,6.32,0.169,1222945,12
10,6.61,6.3,0.175,1228114,12.2
10,6.59,6.26,0.188,1262912,12.1
10,6.59,6.31,0.165,1292850,12.5
13,6.56,6.07,0.188,2279767,3
13,6.6,6.07,0.191,2281432,2.6
13,6.6,6.1,0.196,2504860,3
13,6.62,6.09,0.2,2585236,3.6
13,6.6,6.11,0.199,2552711,3.1
14,6.59,6.01,0.194,3837022,5
14,6.58,6,0.212,3644782,5.1
14,6.57,5.99,0.2,3955373,4.6
14,6.56,6,0.198,3836047,5.4
14,6.58,6.02,0.202,3715178,5.1
15,6.57,5.93,0.203,4989607,2.1
15,6.54,5.95,0.209,4861200,2.1
15,6.56,5.9,0.223,5026920,1.8
15,6.54,5.93,0.223,4944397,1.2
15,6.51,5.88,0.222,4767667,1.3
16,6.54,5.87,0.237,6979819,2.5
16,6.54,5.84,0.227,6423987,3.1
16,6.54,5.83,0.229,6149896,2.6
16,6.5,5.87,0.205,6298092,3.1
16,6.51,5.81,0.24,6808475,2.9
19,6.55,5.69,0.25,9264122,1.1
19,6.51,5.73,0.248,9641555,1
19,6.53,5.73,0.238,9813174,1.1
19,6.46,5.69,0.251,10109737,0.7
19,6.49,5.69,0.243,9408713,1.5
